Table 8,,,,,,,,,,,,,
WASHINGTON,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Connell,"5,913",9,1,1,,0,7,31,10,20,1,1,
Cosmopolis,"1,605",0,0,0,,0,0,26,6,20,0,0,
Coulee Dam,"1,096",2,0,0,,0,2,24,7,15,2,0,
Coupeville,"1,875",5,0,0,,1,4,45,6,37,2,0,
Covington,"18,526",34,1,,6,12,15,612,144,412,56,1,
Des Moines,"30,684",98,0,6,,53,39,"1,175",207,748,220,9,
Dupont,"8,999",9,0,0,,0,9,59,16,42,1,0,
Duvall,"7,342",2,0,0,,0,2,58,15,42,1,0,
East Wenatchee,"13,509",25,0,3,,6,16,439,60,362,17,0,
Eatonville,"2,826",9,0,1,,0,8,48,11,35,2,2,
Edgewood,"9,542",9,0,2,,2,5,267,89,156,22,0,
Edmonds,"40,615",70,0,,10,18,42,991,230,706,55,3,
Ellensburg,"18,367",33,0,9,,7,17,691,113,548,30,1,
Elma,"3,033",4,0,0,,0,4,143,40,91,12,0,
Enumclaw,"11,431",9,0,3,,2,4,348,35,276,37,3,
Ephrata,"7,986",17,0,2,,2,13,414,105,290,19,2,
Everett,"105,129",443,1,,42,192,208,"6,865","1,129","4,702","1,034",19,
Everson,"2,570",1,0,1,,0,0,53,11,42,0,1,
Federal Way,"92,741",291,6,43,,108,134,"5,173",874,"3,535",764,7,
Ferndale,"12,173",26,0,4,,4,18,367,88,273,6,2,
Fife,"9,380",89,0,12,,11,66,596,121,378,97,2,
Fircrest,"6,609",16,0,1,,4,11,155,40,97,18,0,
Forks,"3,744",12,0,1,,3,8,91,17,71,3,0,
Garfield,609,0,0,0,,0,0,4,0,3,1,0,
Gig Harbor,"7,699",22,0,6,,2,14,467,62,382,23,2,
Goldendale,"3,446",8,0,0,,4,4,162,47,109,6,0,
Grand Coulee,"1,046",7,0,1,,1,5,68,24,35,9,1,
Grandview,"11,048",19,0,10,,3,6,251,88,136,27,0,
Granger,"3,313",2,0,2,,0,0,54,15,29,10,0,
Granite Falls,"3,435",9,0,,0,4,5,149,27,82,40,1,
Ilwaco,903,2,0,0,,0,2,12,4,8,0,0,
Issaquah,"33,365",21,0,6,,8,7,810,71,687,52,1,
Kalama,"2,316",7,0,5,,0,2,44,8,32,4,0,
Kelso,"11,802",72,0,15,,4,53,681,110,534,37,1,
Kenmore,"21,531",14,0,,5,2,7,320,122,172,26,2,
Kennewick,"76,508",240,2,34,,43,161,"2,478",444,"1,876",158,18,
Kent,"124,359",319,2,58,,160,99,"5,600","1,061","3,669",870,26,
Kettle Falls,"1,596",3,0,0,,0,3,39,11,26,2,0,
Kirkland,"51,288",71,0,18,,20,33,"1,807",336,"1,290",181,6,
Kittitas,"1,443",1,0,0,,1,0,27,10,17,0,0,
La Center,"3,071",2,0,0,,1,1,91,4,80,7,0,
Lacey3,"44,298",79,0,8,,22,49,"1,491",236,"1,165",90,1,
Lake Forest Park,"13,088",5,0,2,,2,1,247,77,157,13,1,
Lake Stevens,"29,388",44,2,9,,13,20,736,160,506,70,7,
Lakewood,"59,057",410,2,41,,90,277,"2,651",674,"1,770",207,14,
Liberty Lake,"7,979",3,0,2,,0,1,96,20,67,9,0,
Long Beach,"1,344",1,0,0,,0,1,46,15,24,7,0,
Longview,"36,374",170,0,38,,48,84,"2,421",512,"1,734",175,15,
Lynden,"12,808",9,0,1,,1,7,126,27,97,2,1,
Lynnwood,"36,396",105,1,,12,52,40,"2,463",299,"1,950",214,6,
Mabton,"2,328",0,0,0,,0,0,38,8,24,6,0,
Maple Valley,"24,644",15,0,,3,6,6,329,96,189,44,3,
Marysville,"63,153",138,1,,12,32,93,"2,388",475,"1,548",365,9,
Mattawa,"4,532",3,0,0,,0,3,48,9,25,14,0,
McCleary,"1,609",0,0,0,,0,0,4,3,1,0,0,
Medina,"3,096",1,0,0,,0,1,62,7,52,3,0,
Mercer Island,"23,969",8,0,2,,1,5,363,70,281,12,1,
Mill Creek,"18,806",26,0,1,,13,12,382,51,288,43,2,
Milton,"7,076",17,0,3,,4,10,286,58,190,38,1,
Monroe,"17,562",67,1,11,,7,48,617,92,446,79,2,
Montesano,"3,881",0,0,0,,0,0,63,14,43,6,0,
Morton,"1,126",2,0,1,,0,1,25,9,15,1,0,
Moses Lake,"21,410",103,0,19,,29,55,"1,575",329,"1,140",106,4,
Mountlake Terrace,"20,286",32,0,6,,9,17,547,137,337,73,0,
Mount Vernon,"32,450",89,1,15,,31,42,"1,662",258,"1,276",128,6,
Moxee,"3,598",2,0,1,,0,1,26,5,17,4,0,
Mukilteo,"20,707",14,0,,4,3,7,542,140,350,52,3,
Newcastle,"10,928",12,0,,2,6,4,236,65,155,16,1,
Normandy Park,"6,556",1,0,1,,0,0,163,34,115,14,0,
North Bend,"6,094",11,0,,3,4,4,238,53,170,15,1,
Oak Harbor,"22,288",31,0,5,,4,22,526,113,390,23,2,
Oakville,673,1,0,1,,0,0,25,11,12,2,0,
Ocean Shores,"5,632",7,1,3,,0,3,178,80,91,7,0,
Odessa,880,0,0,0,,0,0,4,1,3,0,0,
Olympia3,"48,046",131,0,18,,38,75,"1,789",382,"1,284",123,9,
Omak,"4,801",28,0,3,,5,20,304,57,231,16,0,
Oroville,"1,674",1,0,1,,0,0,113,37,72,4,0,
Orting,"6,913",11,0,0,,5,6,192,32,146,14,1,
Othello,"7,577",47,1,3,,8,35,343,62,236,45,2,
Pacific,"6,911",10,0,5,,3,2,154,35,81,38,0,
Palouse,"1,028",0,0,0,,0,0,5,2,3,0,0,
Pasco,"67,099",158,0,25,,28,105,"1,633",379,"1,119",135,15,
Port Angeles,"19,053",94,1,18,,15,60,869,194,634,41,2,
Port Orchard,"11,818",74,0,10,,11,53,769,140,583,46,5,
Port Townsend,"9,112",41,0,4,,1,36,272,67,194,11,3,
Poulsbo,"9,429",19,0,6,,4,9,278,44,221,13,1,
Prosser,"5,817",9,0,1,,0,8,108,18,74,16,1,
Pullman,"31,895",27,0,4,,2,21,340,93,234,13,1,
Puyallup,"38,532",104,2,15,,28,59,"3,027",410,"2,301",316,11,
Quincy,"7,085",18,0,5,,1,12,369,108,226,35,2,
Raymond,"2,793",2,0,1,,0,1,48,5,41,2,0,
Reardan,565,1,0,0,,0,1,3,0,3,0,0,
Redmond,"57,263",39,0,24,,3,12,"1,665",193,"1,402",70,4,
Renton,"96,657",254,3,27,,101,123,"4,938",859,"3,396",683,14,
Republic,"1,105",7,0,0,,5,2,10,3,5,2,0,
Richland,"52,465",95,3,17,,11,64,"1,167",205,927,35,5,
Ridgefield,"5,426",1,0,0,,1,0,66,8,56,2,0,
Ritzville,"1,679",1,0,0,,0,1,64,17,45,2,1,
Rosalia,559,0,0,0,,0,0,0,0,0,0,0,
Roy,803,1,0,0,,1,0,17,2,13,2,0,
Royal City,"2,219",5,0,0,,2,3,49,22,20,7,1,
Ruston,766,1,0,0,,0,1,24,3,20,1,0,
Sammamish,"49,805",11,0,,4,1,6,275,89,175,11,2,
SeaTac,"27,896",172,2,,36,66,68,"1,570",380,843,347,8,
Seattle,"642,814","3,758",19,153,,"1,601","1,985","35,883","7,384","24,189","4,310",90,
Sedro Woolley,"10,652",18,0,4,,5,9,671,129,502,40,1,
Selah,"7,376",0,0,0,,0,0,101,31,64,6,0,
Sequim,"6,626",13,0,2,,2,9,383,61,308,14,3,
Shelton,"9,780",36,2,5,,12,17,750,143,526,81,2,
Shoreline,"54,762",80,0,,24,24,32,"1,697",426,"1,070",201,19,
Snohomish,"9,323",23,0,0,,7,16,399,76,268,55,3,
Snoqualmie,"11,890",3,0,2,,0,1,90,17,65,8,0,
Spokane,"209,524","1,440",11,,166,518,745,"19,531","3,889","13,352","2,290",59,
Spokane Valley,"90,835",231,1,,35,81,114,"5,313",961,"3,862",490,11,
Springdale,278,1,0,0,,0,1,1,1,0,0,0,
Stanwood,"6,476",9,0,,2,2,5,188,28,136,24,1,
Steilacoom,"6,099",13,0,2,,4,7,64,14,47,3,0,
Sultan,"4,733",10,0,,0,0,10,146,30,93,23,0,
Sumas,"1,340",0,0,0,,0,0,25,5,17,3,1,
Sumner,"9,575",29,0,3,,10,16,517,127,327,63,9,
Sunnyside,"16,099",42,0,6,,10,26,599,108,395,96,2,
Tacoma,"203,226","1,766",10,144,,524,"1,088","13,310","3,086","8,200","2,024",90,
Tenino,"1,700",1,0,0,,0,1,42,4,30,8,0,
Tieton,"1,200",1,0,1,,0,0,9,4,5,0,1,
Tonasket,"1,022",6,0,3,,1,2,29,10,18,1,1,
Toppenish,"9,029",38,1,3,,8,26,420,60,244,116,4,
Tukwila,"19,765",164,0,29,,85,50,"3,309",234,"2,672",403,3,
Tumwater3,"18,343",41,0,10,,5,26,612,161,421,30,1,
Twisp,946,1,0,0,,0,1,25,9,16,0,0,
Union Gap,"6,059",11,2,1,,2,6,401,47,323,31,1,
University Place,"31,708",92,0,5,,34,53,794,162,574,58,2,
Vancouver,"166,535",593,2,74,,146,371,"5,933","1,007","3,950",976,36,
Wapato,"5,067",22,0,1,,1,20,135,18,84,33,3,
Warden,"2,759",3,0,0,,0,3,77,11,58,8,0,
Washougal,"14,733",29,0,7,,5,17,311,53,226,32,1,
Westport,"2,042",0,0,0,,0,0,53,12,36,5,0,
West Richland,"12,905",15,0,2,,1,12,138,34,98,6,1,
White Salmon,"2,269",0,0,0,,0,0,43,5,37,1,0,
Wilbur,856,0,0,0,,0,0,12,3,8,1,0,
Winlock,"1,326",0,0,0,,0,0,61,12,48,1,0,
Winthrop,409,0,0,0,,0,0,7,2,5,0,0,
Woodinville,"11,325",20,1,,8,8,3,366,84,252,30,3,
Woodland,"5,535",19,0,3,,4,12,240,38,187,15,3,
Woodway,"1,326",0,0,0,,0,0,28,6,22,0,0,
Yakima,"93,589",471,9,37,,144,281,"4,684","1,194","2,896",594,14,
Yarrow Point,"1,039",0,0,0,,0,0,2,1,1,0,0,
Zillah,"3,051",3,0,0,,0,3,43,11,24,8,1,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
"3 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
